地区,2020年人口数（万人）,2010年人口数（万人）,增加人数（万人）,增长率,年均增长率
北京,2189,1961,228,11.63,1.11
天津,1387,1294,93,7.19,0.69
河北,7461,7185,276,3.84,0.38
山西,3492,3571,-79,-2.21,-0.23
内蒙古,2405,2471,-66,-2.67,-0.27
辽宁,4259,4375,-116,-2.65,-0.27
吉林,2407,2746,-339,-12.35,-1.31
黑龙江,3185,3831,-646,-16.86,-1.83
上海,2487,2302,185,8.04,0.78
江苏,8475,7866,609,7.74,0.75
浙江,6457,5443,1014,18.63,1.72
安徽,6103,5950,153,2.57,0.25
福建,4154,3689,465,12.61,1.19
江西,4519,4457,62,1.39,0.14
山东,10153,9579,574,5.99,0.58
河南,9937,9402,535,5.69,0.55
湖北,5775,5724,51,0.89,0.09
湖南,6644,6568,76,1.16,0.12
广东,12601,10430,2171,20.81,1.91
广西,5013,4603,410,8.91,0.86
海南,1008,867,141,16.26,1.52
重庆,3205,2885,320,11.09,1.06
四川,8367,8042,325,4.04,0.4
贵州,3856,3475,381,10.96,1.05
云南,4721,4597,124,2.7,0.27
西藏,365,300,65,21.67,1.97
陕西,3953,3733,220,5.89,0.57
甘肃,2502,2558,-56,-2.19,-0.22
青海,592,563,29,5.15,0.52
宁夏,720,630,90,14.29,1.35
新疆,2585,2181,404,18.52,1.71
